1, 2073599, 1, 0, 0, 0, 0, 0, 0, 0
2, 2073598, 1, 0, 0, 0, 0, 0, 1, 0
3, 2073598, 1, 1, 0, 0, 0, 0, 0, 0
4, 2073598, 1, 1, 0, 0, 0, 0, 0, 0
5, 2073598, 1, 1, 0, 0, 0, 0, 0, 0
6, 2073597, 1, 1, 0, 0, 0, 0, 1, 0
7, 2073597, 1, 2, 0, 0, 0, 0, 0, 0
8, 2073597, 1, 2, 0, 0, 0, 0, 0, 0
9, 2073597, 1, 2, 0, 0, 0, 0, 0, 0
10, 2073597, 1, 2, 0, 0, 0, 0, 0, 0
11, 2073596, 1, 1, 0, 0, 0, 1, 1, 0
12, 2073596, 1, 2, 0, 0, 0, 1, 0, 0
13, 2073596, 1, 2, 0, 0, 0, 1, 0, 0
14, 2073593, 0, 2, 0, 0, 0, 2, 3, 0
15, 2073593, 1, 3, 0, 0, 0, 3, 0, 0
16, 2073593, 1, 3, 0, 0, 0, 3, 0, 0
17, 2073592, 1, 3, 0, 0, 0, 3, 1, 0
18, 2073591, 1, 4, 0, 0, 0, 3, 1, 0
19, 2073590, 1, 5, 0, 0, 0, 3, 1, 0
20, 2073588, 1, 5, 0, 0, 0, 4, 2, 0
21, 2073588, 2, 6, 0, 0, 0, 4, 0, 0
22, 2073588, 2, 6, 0, 0, 0, 4, 0, 0
23, 2073587, 2, 4, 0, 0, 0, 6, 1, 0
24, 2073584, 3, 4, 0, 0, 0, 6, 3, 0
25, 2073584, 3, 7, 0, 0, 0, 6, 0, 0
26, 2073581, 3, 6, 0, 0, 0, 7, 3, 0
27, 2073581, 6, 5, 0, 0, 0, 8, 0, 0
28, 2073577, 5, 4, 0, 0, 0, 10, 4, 0
29, 2073577, 8, 4, 0, 0, 0, 11, 0, 0
30, 2073575, 8, 4, 0, 0, 0, 11, 2, 0
31, 2073573, 9, 5, 0, 0, 0, 11, 2, 0
32, 2073570, 9, 7, 0, 0, 0, 11, 3, 0
33, 2073567, 9, 7, 0, 0, 0, 14, 3, 0
34, 2073564, 9, 9, 0, 0, 0, 15, 3, 0
35, 2073562, 10, 11, 0, 0, 0, 15, 2, 0
36, 2073561, 12, 11, 0, 0, 0, 15, 1, 0
37, 2073555, 11, 11, 0, 0, 0, 17, 6, 0
38, 2073549, 12, 15, 1, 0, 0, 17, 6, 0
39, 2073544, 17, 15, 1, 0, 0, 18, 5, 0
40, 2073537, 17, 15, 1, 0, 0, 23, 7, 0
41, 2073534, 19, 17, 1, 0, 0, 26, 3, 0
42, 2073528, 17, 17, 1, 0, 0, 31, 6, 0
43, 2073525, 21, 17, 1, 0, 0, 33, 3, 0
44, 2073518, 22, 18, 1, 0, 0, 34, 7, 0
45, 2073510, 25, 21, 1, 0, 0, 35, 8, 0
46, 2073506, 28, 22, 1, 0, 0, 39, 4, 0
47, 2073496, 30, 22, 1, 0, 0, 41, 10, 0
48, 2073489, 33, 26, 1, 0, 0, 44, 7, 0
49, 2073484, 35, 25, 1, 0, 0, 50, 5, 0
50, 2073476, 37, 26, 0, 0, 1, 52, 8, 0
51, 2073461, 40, 27, 0, 0, 1, 56, 15, 0
52, 2073441, 43, 33, 0, 0, 1, 62, 20, 0
53, 2073432, 51, 38, 0, 0, 1, 69, 9, 0
54, 2073419, 57, 34, 0, 0, 1, 76, 13, 0
55, 2073401, 66, 36, 0, 0, 1, 78, 18, 0
56, 2073386, 71, 39, 0, 0, 1, 88, 15, 0
57, 2073365, 78, 41, 0, 0, 1, 94, 21, 0
58, 2073355, 88, 45, 1, 0, 1, 100, 10, 0
59, 2073325, 89, 48, 1, 0, 1, 106, 30, 0
60, 2073303, 106, 51, 1, 0, 1, 116, 22, 0
61, 2073274, 112, 53, 2, 0, 0, 130, 29, 0
62, 2073247, 126, 62, 4, 0, 0, 134, 27, 0
63, 2073216, 136, 73, 5, 0, 0, 139, 31, 0
64, 2073184, 141, 85, 5, 0, 0, 153, 32, 0
65, 2073154, 150, 93, 5, 1, 0, 167, 30, 1
66, 2073121, 153, 101, 6, 0, 0, 185, 33, 1
67, 2073085, 158, 112, 9, 0, 0, 199, 36, 1
68, 2073046, 168, 117, 10, 0, 0, 219, 39, 1
69, 2072996, 181, 125, 10, 0, 0, 237, 50, 1
70, 2072949, 193, 143, 10, 1, 1, 255, 47, 2
71, 2072890, 198, 158, 10, 0, 1, 282, 59, 2
72, 2072819, 223, 166, 11, 0, 1, 307, 71, 2
73, 2072760, 239, 189, 9, 1, 3, 338, 59, 3
74, 2072701, 251, 207, 14, 0, 3, 362, 59, 3
75, 2072634, 266, 216, 14, 0, 3, 397, 67, 3
76, 2072553, 281, 239, 15, 0, 4, 424, 81, 3
77, 2072491, 309, 262, 16, 0, 5, 452, 62, 3
78, 2072397, 323, 264, 14, 0, 8, 497, 94, 3
79, 2072305, 364, 272, 16, 1, 9, 538, 92, 4
80, 2072184, 396, 285, 18, 0, 9, 583, 121, 4
81, 2072070, 428, 313, 20, 0, 9, 642, 114, 4
82, 2071953, 460, 339, 25, 0, 9, 693, 117, 4
83, 2071825, 498, 369, 29, 0, 10, 737, 128, 4
84, 2071711, 539, 396, 33, 0, 9, 794, 114, 4
85, 2071570, 563, 417, 29, 1, 14, 861, 141, 5
86, 2071430, 591, 465, 32, 0, 14, 923, 140, 5
87, 2071242, 629, 502, 35, 0, 15, 984, 188, 5
