1.02 1.8 207360 8 2073 960 192 1.0 0.7 1 12 7 0.03214285714285715 0.004166666666666667 10 0.005 10
[1, 2073599, 0, 1, 0, 0, 0, 0, 0, 0]
[2, 2073599, 0, 1, 0, 0, 0, 0, 0, 0]
[3, 2073599, 0, 1, 0, 0, 0, 0, 0, 0]
[4, 2073599, 0, 1, 0, 0, 0, 0, 0, 0]
[5, 2073599, 0, 1, 0, 0, 0, 0, 0, 0]
[6, 2073599, 0, 1, 0, 0, 0, 0, 0, 0]
[7, 2073597, 0, 1, 0, 0, 0, 0, 2, 0]
[8, 2073597, 0, 3, 0, 0, 0, 0, 0, 0]
[9, 2073595, 0, 2, 0, 0, 0, 1, 2, 0]
[10, 2073595, 0, 4, 0, 0, 0, 1, 0, 0]
[11, 2073593, 0, 4, 0, 0, 0, 1, 2, 0]
[12, 2073593, 1, 5, 0, 0, 0, 1, 0, 0]
[13, 2073592, 1, 5, 0, 0, 0, 1, 1, 0]
[14, 2073590, 1, 6, 0, 0, 0, 1, 2, 0]
[15, 2073589, 3, 6, 0, 0, 0, 1, 1, 0]
[16, 2073587, 3, 5, 0, 0, 0, 3, 2, 0]
[17, 2073586, 4, 6, 0, 0, 0, 3, 1, 0]
[18, 2073584, 4, 5, 0, 0, 0, 5, 2, 0]
[19, 2073578, 4, 7, 0, 0, 0, 5, 6, 0]
[20, 2073575, 6, 10, 0, 0, 0, 6, 3, 0]
[21, 2073572, 7, 12, 0, 0, 0, 6, 3, 0]
[22, 2073567, 7, 14, 0, 0, 0, 7, 5, 0]
[23, 2073563, 9, 17, 0, 0, 0, 7, 4, 0]
[24, 2073560, 10, 19, 0, 0, 0, 8, 3, 0]
[25, 2073557, 10, 20, 0, 0, 0, 10, 3, 0]
[26, 2073552, 11, 21, 0, 0, 0, 11, 5, 0]
[27, 2073540, 12, 23, 0, 0, 0, 13, 12, 0]
[28, 2073533, 13, 28, 0, 0, 0, 19, 7, 0]
[29, 2073525, 15, 31, 0, 0, 0, 21, 8, 0]
[30, 2073518, 18, 32, 0, 0, 0, 25, 7, 0]
[31, 2073499, 21, 33, 0, 0, 0, 28, 19, 0]
[32, 2073486, 29, 41, 0, 0, 0, 31, 13, 0]
[33, 2073464, 29, 50, 0, 0, 0, 35, 22, 0]
[34, 2073449, 32, 65, 1, 0, 0, 38, 15, 0]
