1.04 1.8 207360 8 2073 960 192 0.9 1.0 60 False 0.7 1 12 7 0.03214285714285715 0.004166666666666667 10 0.005 10
[1, 2073599, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[2, 2073599, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[3, 2073599, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[4, 2073599, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[5, 2073599, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[6, 2073599, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[7, 2073598, 0, 1, 0, 0, 0, 0, 1, 0, 0]
[8, 2073598, 1, 1, 0, 0, 0, 0, 0, 0, 0]
[9, 2073598, 1, 0, 0, 0, 0, 1, 0, 1, 0]
[10, 2073598, 1, 0, 0, 0, 0, 1, 0, 1, 0]
[11, 2073597, 1, 0, 0, 0, 0, 1, 1, 1, 0]
[12, 2073597, 1, 1, 0, 0, 0, 1, 0, 1, 0]
[13, 2073597, 1, 1, 0, 0, 0, 1, 0, 1, 0]
[14, 2073597, 1, 1, 0, 0, 0, 1, 0, 1, 0]
[15, 2073596, 1, 1, 0, 0, 0, 1, 1, 1, 0]
[16, 2073596, 2, 1, 0, 0, 0, 1, 0, 1, 0]
[17, 2073594, 2, 1, 0, 0, 0, 1, 2, 1, 0]
[18, 2073594, 2, 3, 0, 0, 0, 1, 0, 1, 0]
[19, 2073593, 2, 3, 0, 0, 0, 1, 1, 1, 0]
[20, 2073592, 2, 3, 0, 0, 0, 2, 1, 1, 0]
[21, 2073589, 1, 4, 0, 0, 0, 3, 3, 6, 0]
[22, 2073589, 2, 6, 0, 0, 0, 3, 0, 6, 0]
[23, 2073588, 2, 6, 0, 0, 0, 3, 1, 6, 0]
[24, 2073587, 2, 7, 0, 0, 0, 3, 1, 6, 0]
[25, 2073585, 3, 7, 0, 0, 0, 3, 2, 6, 0]
[26, 2073583, 3, 7, 0, 0, 0, 5, 2, 11, 0]
[27, 2073581, 3, 9, 0, 0, 0, 5, 2, 11, 0]
[28, 2073580, 3, 10, 0, 0, 0, 6, 1, 12, 0]
[29, 2073578, 3, 9, 0, 0, 0, 8, 2, 17, 0]
[30, 2073576, 4, 8, 0, 0, 0, 10, 2, 20, 0]
[31, 2073571, 5, 9, 0, 0, 0, 10, 5, 20, 0]
[32, 2073566, 5, 13, 0, 0, 0, 11, 5, 20, 0]
[33, 2073560, 5, 18, 0, 0, 0, 11, 6, 20, 0]
[34, 2073555, 5, 22, 0, 0, 0, 13, 5, 23, 0]
[35, 2073554, 6, 23, 0, 0, 0, 16, 1, 30, 0]
[36, 2073543, 6, 22, 0, 0, 0, 18, 11, 34, 0]
[37, 2073534, 10, 29, 0, 0, 0, 18, 9, 34, 0]
[38, 2073524, 12, 34, 0, 0, 0, 20, 10, 40, 0]
[39, 2073512, 14, 41, 0, 0, 0, 21, 12, 43, 0]
[40, 2073500, 18, 44, 0, 0, 0, 26, 12, 49, 0]
[41, 2073486, 22, 47, 0, 0, 0, 31, 14, 60, 0]
[42, 2073467, 27, 49, 0, 0, 0, 38, 19, 74, 0]
[43, 2073446, 27, 64, 0, 0, 0, 42, 21, 90, 0]
[44, 2073417, 28, 82, 0, 0, 0, 44, 29, 96, 0]
[45, 2073399, 39, 93, 0, 0, 0, 51, 18, 112, 0]
[46, 2073365, 44, 100, 0, 0, 0, 57, 34, 123, 0]
[47, 2073340, 54, 116, 0, 0, 0, 65, 25, 140, 0]
[48, 2073298, 61, 123, 1, 0, 0, 75, 42, 155, 0]
[49, 2073256, 77, 141, 1, 0, 0, 83, 42, 165, 0]
[50, 2073214, 90, 158, 1, 0, 0, 95, 42, 186, 0]
[51, 2073158, 97, 171, 2, 0, 0, 116, 56, 226, 0]
[52, 2073095, 113, 190, 2, 0, 0, 137, 63, 276, 0]
[53, 2073037, 132, 212, 2, 0, 0, 159, 58, 318, 0]
[54, 2072954, 146, 239, 2, 0, 0, 176, 83, 348, 0]
[55, 2072856, 165, 273, 3, 0, 0, 205, 98, 401, 0]
[56, 2072772, 203, 316, 4, 0, 0, 221, 84, 422, 0]
[57, 2072656, 227, 348, 4, 0, 0, 249, 116, 479, 0]
[58, 2072521, 258, 399, 4, 0, 0, 283, 135, 554, 0]
[59, 2072392, 294, 462, 4, 0, 0, 319, 129, 625, 0]
[60, 2072226, 319, 516, 6, 0, 1, 366, 166, 718, 0]
[61, 2072051, 356, 594, 7, 0, 1, 416, 175, 821, 0]
[62, 2071855, 389, 679, 7, 0, 2, 472, 196, 933, 0]
[63, 2071588, 432, 757, 7, 0, 2, 547, 267, 1072, 0]
[64, 2071320, 510, 876, 7, 1, 2, 616, 268, 1201, 1]
[65, 2071000, 558, 1019, 9, 0, 2, 691, 320, 1380, 1]
[66, 2070650, 642, 1156, 9, 0, 3, 789, 350, 1587, 1]
[67, 2070209, 721, 1311, 12, 0, 4, 901, 441, 1790, 1]
[68, 2069707, 819, 1536, 12, 1, 4, 1018, 502, 2014, 2]
[69, 2069179, 916, 1778, 18, 0, 4, 1175, 528, 2342, 2]
[70, 2068534, 1047, 2020, 23, 1, 4, 1324, 645, 2666, 3]
[71, 2067816, 1209, 2324, 23, 0, 6, 1501, 718, 3050, 3]
[72, 2066979, 1387, 2644, 27, 0, 6, 1717, 837, 3518, 3]
[73, 2066029, 1617, 3009, 30, 0, 6, 1956, 950, 4002, 3]
[74, 2065014, 1854, 3458, 34, 0, 6, 2216, 1015, 4542, 3]
[75, 2063816, 2094, 3936, 37, 0, 6, 2510, 1198, 5163, 3]
[76, 2062373, 2373, 4471, 43, 1, 8, 2885, 1443, 5908, 4]
[77, 2060778, 2729, 5103, 50, 0, 7, 3334, 1595, 6855, 4]
[78, 2058912, 3119, 5867, 54, 1, 10, 3767, 1866, 7755, 5]
[79, 2056890, 3578, 6723, 66, 0, 11, 4305, 2022, 8851, 5]
[80, 2054554, 4028, 7688, 75, 0, 16, 4898, 2336, 10054, 5]
[81, 2051850, 4610, 8749, 85, 0, 22, 5575, 2704, 11465, 5]
[82, 2048850, 5236, 10009, 99, 0, 22, 6379, 3000, 13094, 5]
[83, 2045381, 5973, 11370, 115, 0, 26, 7261, 3469, 14885, 5]
[84, 2041533, 6790, 12954, 133, 1, 28, 8308, 3848, 17111, 6]
[85, 2037145, 7702, 14653, 158, 0, 32, 9516, 4388, 19565, 6]
[86, 2032191, 8786, 16549, 177, 0, 35, 10902, 4954, 22273, 6]
[87, 2026668, 9915, 18751, 219, 0, 42, 12476, 5523, 25429, 6]
[88, 2020259, 11247, 21167, 247, 2, 49, 14214, 6409, 28807, 8]
[89, 2012952, 12796, 24015, 288, 1, 54, 16179, 7307, 32697, 9]
[90, 2004795, 14542, 27184, 317, 2, 66, 18528, 8157, 37322, 11]
[91, 1995683, 16478, 30814, 360, 1, 74, 21067, 9112, 42407, 12]
[92, 1985507, 18573, 34783, 411, 3, 82, 24053, 10176, 48192, 15]
[93, 1974154, 21073, 39158, 472, 1, 94, 27280, 11353, 54516, 16]
[94, 1961554, 23718, 44058, 557, 0, 110, 30987, 12600, 61699, 16]
[95, 1947366, 26570, 49466, 633, 3, 128, 35230, 14188, 69954, 19]
[96, 1931580, 29933, 55453, 697, 5, 153, 39974, 15786, 79081, 24]
[97, 1913855, 33586, 62006, 792, 2, 170, 45440, 17725, 89547, 26]
[98, 1894185, 37651, 69362, 870, 5, 210, 51621, 19670, 101208, 31]
[99, 1872470, 42105, 77427, 976, 2, 240, 58634, 21715, 114274, 33]
[100, 1848723, 46989, 86306, 1096, 1, 279, 66426, 23747, 128618, 34]
[101, 1822570, 52285, 95930, 1253, 3, 309, 75063, 26153, 144246, 37]
[102, 1794036, 58036, 106332, 1417, 6, 349, 84853, 28534, 162065, 43]
[103, 1763328, 64288, 117343, 1598, 2, 397, 95893, 30708, 182117, 45]
[104, 1729543, 71053, 128826, 1795, 9, 457, 108087, 33785, 203636, 54]
[105, 1693634, 78155, 141575, 2007, 2, 538, 121726, 35909, 227173, 56]
[106, 1655197, 85549, 154366, 2223, 5, 617, 137150, 38437, 253958, 61]
[107, 1614011, 93401, 167519, 2504, 9, 685, 154224, 41186, 282342, 70]
[108, 1570270, 101653, 181259, 2772, 18, 771, 173046, 43741, 313122, 88]
[109, 1524251, 110189, 195268, 3013, 21, 833, 193918, 46019, 346896, 109]
[110, 1476200, 118971, 209220, 3353, 18, 886, 216792, 48051, 382887, 127]
[111, 1426013, 127908, 222910, 3731, 28, 939, 241757, 50187, 421268, 155]
