1.04 1.8 207360 8 2073 960 192 0.9 1.0 120 True 0.7 1 12 7 0.03214285714285715 0.004166666666666667 10 0.005 10
[1, 2073599, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[2, 2073599, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[3, 2073599, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[4, 2073599, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[5, 2073599, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[6, 2073598, 0, 1, 0, 0, 0, 0, 1, 0, 0]
[7, 2073598, 0, 2, 0, 0, 0, 0, 0, 0, 0]
[8, 2073598, 0, 2, 0, 0, 0, 0, 0, 0, 0]
[9, 2073597, 0, 1, 0, 0, 0, 1, 1, 2, 0]
[10, 2073596, 0, 2, 0, 0, 0, 1, 1, 2, 0]
[11, 2073594, 1, 2, 0, 0, 0, 1, 2, 2, 0]
[12, 2073592, 3, 2, 0, 0, 0, 1, 2, 2, 0]
[13, 2073592, 3, 4, 0, 0, 0, 1, 0, 2, 0]
[14, 2073589, 3, 4, 0, 0, 0, 1, 3, 2, 0]
[15, 2073585, 4, 5, 0, 0, 0, 2, 4, 6, 0]
[16, 2073584, 4, 9, 0, 0, 0, 2, 1, 6, 0]
[17, 2073581, 4, 10, 0, 0, 0, 2, 3, 6, 0]
[18, 2073578, 4, 12, 0, 0, 0, 3, 3, 7, 0]
[19, 2073575, 5, 14, 0, 0, 0, 3, 3, 7, 0]
[20, 2073571, 5, 17, 0, 0, 0, 3, 4, 7, 0]
[21, 2073565, 5, 19, 0, 0, 0, 5, 6, 12, 0]
[22, 2073559, 6, 24, 0, 0, 0, 5, 6, 12, 0]
[23, 2073555, 9, 25, 0, 0, 0, 7, 4, 17, 0]
[24, 2073548, 10, 23, 0, 0, 0, 12, 7, 25, 0]
[25, 2073536, 10, 27, 0, 0, 0, 15, 12, 34, 0]
[26, 2073529, 13, 33, 0, 0, 0, 18, 7, 43, 0]
[27, 2073518, 17, 34, 0, 0, 0, 20, 11, 51, 0]
[28, 2073504, 20, 38, 0, 0, 0, 24, 14, 58, 0]
[29, 2073494, 23, 45, 0, 0, 0, 28, 10, 65, 0]
[30, 2073479, 25, 48, 0, 0, 0, 33, 15, 71, 0]
[31, 2073461, 30, 55, 0, 0, 0, 36, 18, 74, 0]
[32, 2073442, 32, 68, 0, 0, 0, 39, 19, 81, 0]
[33, 2073421, 38, 76, 0, 0, 0, 44, 21, 95, 0]
[34, 2073395, 41, 85, 0, 0, 0, 53, 26, 115, 0]
[35, 2073368, 49, 99, 0, 0, 0, 57, 27, 124, 0]
[36, 2073331, 51, 114, 0, 0, 0, 67, 37, 139, 0]
[37, 2073297, 60, 128, 1, 0, 0, 80, 34, 167, 0]
[38, 2073241, 68, 144, 1, 0, 0, 90, 56, 181, 0]
[39, 2073186, 81, 173, 2, 0, 0, 103, 55, 213, 0]
[40, 2073130, 87, 203, 2, 0, 0, 122, 56, 256, 0]
[41, 2073050, 102, 227, 2, 0, 0, 139, 80, 285, 0]
[42, 2072972, 132, 256, 2, 0, 0, 160, 78, 330, 0]
[43, 2072886, 152, 295, 2, 0, 0, 179, 86, 376, 0]
[44, 2072777, 175, 331, 2, 0, 0, 206, 109, 438, 0]
[45, 2072668, 205, 381, 3, 0, 0, 234, 109, 488, 0]
[46, 2072541, 240, 425, 4, 0, 0, 263, 127, 548, 0]
[47, 2072370, 273, 476, 5, 0, 0, 305, 171, 642, 0]
[48, 2072187, 319, 545, 7, 0, 0, 359, 183, 757, 0]
[49, 2071983, 375, 630, 6, 0, 1, 401, 204, 836, 0]
[50, 2071763, 424, 726, 6, 0, 2, 459, 220, 945, 0]
[51, 2071487, 493, 812, 6, 0, 2, 524, 276, 1069, 0]
[52, 2071201, 546, 955, 11, 0, 2, 599, 286, 1219, 0]
[53, 2070866, 639, 1061, 13, 0, 2, 684, 335, 1402, 0]
[54, 2070481, 709, 1236, 16, 0, 2, 771, 385, 1606, 0]
[55, 2070064, 788, 1415, 20, 0, 2, 894, 417, 1871, 0]
[56, 2069564, 887, 1596, 25, 0, 3, 1025, 500, 2136, 0]
[57, 2069026, 1001, 1827, 28, 2, 4, 1174, 538, 2420, 2]
[58, 2068375, 1113, 2068, 36, 1, 5, 1349, 651, 2785, 3]
[59, 2067658, 1254, 2393, 38, 0, 7, 1530, 717, 3154, 3]
[60, 2066874, 1431, 2691, 43, 0, 6, 1768, 784, 3591, 3]
[61, 2065972, 1593, 3070, 50, 0, 6, 2004, 902, 4103, 3]
[62, 2064941, 1816, 3442, 57, 0, 6, 2304, 1031, 4707, 3]
[63, 2063824, 2063, 3889, 62, 1, 11, 2630, 1117, 5332, 4]
[64, 2062487, 2329, 4363, 70, 0, 13, 2997, 1337, 6093, 4]
[65, 2061111, 2658, 4937, 77, 0, 16, 3421, 1376, 6925, 4]
[66, 2059427, 2944, 5538, 82, 0, 19, 3902, 1684, 7876, 4]
[67, 2057657, 3365, 6242, 86, 2, 21, 4453, 1770, 8914, 6]
[68, 2055775, 3761, 6988, 98, 0, 26, 5064, 1882, 10057, 6]
[69, 2053505, 4171, 7765, 106, 1, 35, 5741, 2270, 11324, 7]
[70, 2051081, 4678, 8758, 120, 2, 37, 6493, 2424, 12736, 9]
[71, 2048367, 5279, 9704, 129, 1, 42, 7355, 2714, 14333, 10]
[72, 2045426, 5882, 10846, 150, 0, 48, 8297, 2941, 16083, 10]
[73, 2042200, 6580, 11932, 161, 1, 55, 9435, 3226, 18141, 11]
[74, 2038605, 7279, 13238, 175, 1, 61, 10635, 3595, 20353, 12]
[75, 2034871, 8054, 14585, 199, 1, 69, 12075, 3734, 22842, 13]
[76, 2030599, 8848, 15943, 226, 2, 74, 13623, 4272, 25581, 15]
[77, 2026177, 9796, 17548, 270, 2, 78, 15292, 4422, 28481, 17]
[78, 2021462, 10672, 19051, 311, 2, 84, 17286, 4715, 31886, 19]
[79, 2016269, 11703, 20659, 331, 1, 94, 19331, 5193, 35294, 20]
[80, 2010997, 12735, 22368, 363, 3, 101, 21741, 5272, 39300, 23]
[81, 2005340, 13775, 24036, 398, 1, 113, 24257, 5657, 43358, 24]
[82, 1999253, 14921, 25690, 435, 3, 123, 27064, 6087, 47728, 27]
[83, 1992843, 16076, 27428, 457, 4, 142, 30213, 6410, 52556, 31]
[84, 1986347, 17216, 29305, 500, 4, 154, 33547, 6496, 57606, 35]
[85, 1979456, 18333, 30907, 544, 1, 168, 37265, 6891, 63189, 36]
[86, 1972411, 19414, 32652, 585, 1, 190, 41266, 7045, 68889, 37]
[87, 1965127, 20583, 34306, 624, 2, 215, 45422, 7284, 74736, 39]
[88, 1957596, 21657, 35789, 662, 0, 261, 50065, 7531, 81088, 39]
[89, 1949969, 22832, 37313, 685, 1, 301, 54833, 7627, 87564, 40]
[90, 1941984, 23740, 38718, 744, 4, 321, 60064, 7985, 94482, 44]
[91, 1933861, 24803, 40052, 773, 3, 355, 65586, 8123, 101421, 47]
[92, 1925533, 25701, 41332, 819, 2, 386, 71452, 8328, 108819, 49]
[93, 1917156, 26613, 42618, 854, 4, 424, 77505, 8377, 116359, 53]
[94, 1908511, 27523, 43608, 906, 4, 445, 83905, 8645, 124046, 57]
[95, 1899624, 28350, 44774, 939, 2, 489, 90478, 8887, 131997, 59]
[96, 1890736, 29202, 45856, 979, 5, 530, 97345, 8888, 140324, 64]
[97, 1881633, 29890, 46887, 1046, 2, 571, 104404, 9103, 148606, 66]
[98, 1872433, 30679, 47877, 1079, 9, 607, 111650, 9200, 156990, 75]
[99, 1862866, 31336, 48790, 1087, 3, 641, 119235, 9567, 165452, 78]
[100, 1853175, 32086, 49701, 1131, 4, 663, 127071, 9691, 174426, 82]
[101, 1843604, 32790, 50670, 1156, 2, 724, 135001, 9571, 183329, 84]
[102, 1833704, 33292, 51539, 1209, 4, 756, 143112, 9900, 192427, 88]
[103, 1823641, 34000, 52353, 1217, 2, 799, 151437, 10063, 201773, 90]
[104, 1813374, 34581, 53243, 1254, 4, 832, 159955, 10267, 211373, 94]
[105, 1803052, 35210, 54276, 1274, 4, 885, 168483, 10322, 220881, 98]
[106, 1792491, 35767, 55193, 1308, 3, 914, 177265, 10561, 230589, 101]
[107, 1782053, 36377, 56093, 1334, 3, 957, 186244, 10438, 240349, 104]
[108, 1771155, 36884, 56758, 1359, 7, 1022, 195413, 10898, 250484, 111]
[109, 1760405, 37387, 57624, 1407, 2, 1060, 204854, 10750, 260855, 113]
[110, 1749289, 37945, 58437, 1463, 4, 1067, 214166, 11116, 271002, 117]
